z,mode_1,mode_2,mode_3,mode_4
0,5.8673536567357982e-16,2.9242876127597877e-15,3.8898198720328438e-17,1.3207050516994139e-14
0.0025653383040524225,0.0080591607269238259,0.016117798002282045,0.024175388408502724,0.032231408596033004
0.010235029373752758,0.032148752663371145,0.064264269641197816,0.096313349607305559,0.12826285991875414
0.022930371799975591,0.071975597499350938,0.14357784221263659,0.21443531801436741,0.28418047205439706
0.040521094189884699,0.1269572218202768,0.25185981703046734,0.37268641030340305,0.48748159075200415
0.062826691927708955,0.19609683134934577,0.38457904085801348,0.55812768951392377,0.71000372232380082
0.089618279396361855,0.27783931129652795,0.53380020169882592,0.74772706375688203,0.90277425418558077
0.12062093865360451,0.36993759986263941,0.68738593995155195,0.90730329324616521,0.99848629169166592
0.15551654046215668,0.46936333678748998,0.82890046762306546,0.99448339212059333,0.92736740454217259
0.19394700872616855,0.57229561449837929,0.93861905538527035,0.96712860755260843,0.64756353462596294
0.23551799483651881,0.67421524480549999,0.99586298150681118,0.7967438970658034,0.1809833727434691
0.27980292422118275,0.77011844564862031,0.98251852506880011,0.48338049020704826,-0.36582080932292854
0.32634737357758986,0.85484420281630269,0.8871312493841077,0.065793559060070228,-0.81885269984478382
0.37467373387063974,0.92348679854898319,0.70855485659680217,-0.3798407111379552,-0.99999159508926716
0.42428611124771165,0.97184391632413514,0.45798252487012564,-0.75601914285666727,-0.81425738555478888
0.47467541558064352,0.99683680975985856,0.15844845367925253,-0.97165123050805846,-0.31289362813725058
0.52532458441935637,0.99683680975985767,-0.15844845367922475,-0.97165123050806046,0.31289362813725058
0.57571388875228835,0.97184391632412759,-0.4579825248701011,-0.75601914285668703,0.81425738555478522
0.62532626612936015,0.92348679854897409,-0.70855485659677908,-0.37984071113797951,0.99999159508926116
0.67365262642241008,0.85484420281628803,-0.88713124938408572,0.065793559060042028,0.81885269984478348
0.7201970757788172,0.77011844564860654,-0.98251852506878234,0.48338049020701451,0.36582080932293248
0.7644820051634813,0.67421524480548378,-0.9958629815067952,0.79674389706577642,-0.18098337274346532
0.80605299127383123,0.57229561449836686,-0.9386190553852567,0.96712860755258279,-0.64756353462595817
0.84448345953784321,0.46936333678747694,-0.82890046762305214,0.99448339212056869,-0.92736740454216471
0.87937906134639543,0.36993759986263064,-0.68738593995154074,0.90730329324615244,-0.9984862916916587
0.9103817206036382,0.27783931129651784,-0.53380020169881737,0.74772706375687736,-0.90277425418557411
0.93717330807229104,0.19609683134933945,-0.38457904085800682,0.55812768951392244,-0.71000372232379483
0.9594789058101153,0.12695722182027303,-0.25185981703046284,0.37268641030340371,-0.4874815907520002
0.97706962820002441,0.071975597499345567,-0.14357784221263403,0.21443531801436741,-0.28418047205439489
0.98976497062624724,0.032148752663366781,-0.064264269641196747,0.096313349607304657,-0.12826285991875316
0.99743466169594752,0.0080591607269222491,-0.016117798002281761,0.024175388408502231,-0.032231408596032789
1,4.3523061199675014e-16,-2.9616971760105238e-15,6.7737123700174803e-16,-1.3230584359571251e-14
