r,initial,solution,weighted_radial_residual
0,5,6.8968486193769873,1.581845765485923e-12
0.00062153939053882779,4.9999961368886057,6.8968274972840726,2.8355096048926498e-13
0.0024846123172992951,4.9999382672068755,6.8965110997987509,7.6216810640516997e-13
0.0055845868874357385,4.9996881287563024,6.8951437688604109,-1.3677947663381929e-13
0.0099137560757280863,4.9990172227020171,6.8914786371269887,-1.0476064460362977e-12
0.015461356885461019,4.9976097501656191,6.8838002594712586,1.6022738691390259e-12
0.022213597106929661,4.9950667784701039,6.86996347951135,-1.9060308886764687e-12
0.030153689607045786,4.9909116836631418,6.847454700327992,3.3217872896784684e-13
0.039261894064796188,4.9845969177990561,6.8134818312601322,6.6791017161449417e-13
0.049515566048790427,4.9755121435911098,6.7650977821653608,1.7408297026122455e-13
0.060889213314885726,4.9629937646629463,6.6993590817848094,-7.567280135845067e-13
0.073354559183922141,4.9463358564280924,6.6135158874855495,1.3251622021925868e-12
0.086880612842002547,4.9248024708244822,6.5052227271740666,-1.7088552795030409e-12
0.10143374638853875,4.8976412484678677,6.3727518771924192,2.9487523534044158e-13
0.11697777844051099,4.864098225512218,6.2151851353994161,1.794120407794253e-12
0.13347406408508683,4.8234336713299433,6.0325570457303757,-1.993072373807081e-12
0.15088159095696357,4.7749387391628604,5.8259251680171129,1.0125233984581428e-12
0.1691570812015703,4.7179526575727619,5.5973513719349182,-5.2935433814127464e-13
0.1882550990706332,4.6518801384754296,5.3497911938711802,3.872457909892546e-13
0.20812816388260502,4.5762086305069465,5.0869031431184464,-8.1357143244531471e-13
0.22872686806712028,4.4905250071508318,4.8128027277303973,1.1688428003253648e-12
0.25000000000000006,4.39453125,4.5317936052777243,-1.0977885267493548e-12
0.27189467132341849,4.2880586710123527,4.2481090196281999,3.0198066269804258e-13
0.29435644843469416,4.1710802155247313,3.9656910628109743,1.5596413049934199e-12
0.31732948781680248,4.0437204015041219,3.6880255198626393,-1.5223378113660146e-12
0.34075667487415778,3.9062624808470288,3.4180390466211517,7.0699002208129968e-13
0.36457976592849739,3.7591524556569054,3.1580557837182104,-1.9841905896100798e-12
0.38873953302184278,3.6029996458278477,2.9098037980119993,3.2027713814386516e-12
0.41317591116653479,3.4385735827453749,2.674458387900529,-1.6529000390619331e-12
0.43782814767625738,3.2667970956186188,2.4527088331458007,1.6591172879998339e-12
0.46263495320678782,3.0887355593968642,2.2448367075872744,-2.6210145165350696e-12
0.48753465413096347,2.9055823833622556,2.050796440540763,2.2986057501839241e-12
0.51246534586903647,2.7186409338440791,1.8702916292484137,-1.3038459201197838e-12
0.53736504679321218,2.5293031992505304,1.7028431627732918,9.2637009174723062e-13
0.56217185232374256,2.3390256167475179,1.5478472657510858,-1.9881873924987303e-12
0.58682408883346515,2.1493025833688915,1.4046230462331351,1.8625101461111626e-12
0.61126046697815717,1.9616382661618714,1.2724500870461144,5.6088467204062908e-13
0.6354202340715025,1.7775174024588596,1.1505971581342385,-1.87960758069039e-13
0.65924332512584216,1.5983758392338074,1.0383433623313425,-5.6643578716375487e-13
0.68267051218319741,1.4255715970041387,0.93499306097835588,-1.6068257835399891e-12
0.70564355156530567,1.2603572567987036,0.83988583954486784,1.1375345110309354e-12
0.72810532867658129,1.1038544570101074,0.7524026253730709,2.7790547640904606e-12
0.75000000000000011,0.957031249999999,0.67196889887698052,-3.3498204210502536e-12
0.77127313193287961,0.82068300651523041,0.5980557699718474,4.8763770799098438e-13
0.79187183611739487,0.6954174705699151,0.5301795363683468,1.7769813398516021e-12
0.81174490092936669,0.58164446058104247,0.46790020564070578,-2.9060781558953863e-12
0.83084291879842964,0.47957058714293116,0.41081935019689059,1.687462669597295e-12
0.84911840904303637,0.38919921753505948,0.35857757242742061,4.4066347792970362e-12
0.86652593591491311,0.31033576612546165,0.31085178410542813,-8.3247575499711957e-12
0.88302222155948895,0.24259823296796709,0.2673524468019024,1.1091197404944353e-12
0.89856625361146125,0.18543275510993146,0.22782087590705347,5.5573601276392992e-12
0.91311938715799734,0.13813378157431469,0.19202667728664169,3.4736285028924563e-12
0.9266454408160778,0.09986833875570153,0.15976536046603185,-1.7174571660671933e-11
0.93911078668511427,0.069703722946925423,0.13085615370259918,2.8274368957248441e-11
0.95048443395120952,0.046637845362698875,0.1051400329000578,-2.5680842218392397e-11
0.96073810593520381,0.029631366257009628,0.082477966858786722,-7.3122318746884907e-12
0.96984631039295421,0.017640691742406817,0.062749374921134304,3.1821353413613931e-11
0.97778640289307028,0.0096508720847715834,0.045850788943450294,-6.5483817370329267e-12
0.98453864311453887,0.0047074350206970832,0.031694709155801748,-4.1433704699915617e-11
0.99008624392427191,0.0019462125014548665,0.020208642432958834,7.1870267287209321e-11
0.99441541311256421,0.00062027367896601998,0.011334311472495973,-1.1043091361623896e-10
0.99751538768270076,0.00012315939283033179,0.005027024108968714,4.6026452036812359e-10
0.99937846060946112,7.7214228732803202e-06,0.0012551932950035649,-3.8103015649528695e-09
1,0,-4.4408920985006262e-16,-9.0983807154998431e-09
