N,recovered_radius,reference_radius,radius_error,weighted_radial_residual,origin_residual,boundary_error
16,6.8968468822069831,6.8968486193769607,1.7371699776447258e-06,0.004234227031972182,0.2662802410481504,4.7961634663806763e-14
24,6.89684861875085,6.8968486193769607,6.2611071882656688e-10,7.2275507569941055e-06,0.00060944549073838061,4.829470157119431e-13
32,6.896848619376696,6.8968486193769607,2.6467716907063732e-13,9.7501058608588824e-09,9.5194593541236827e-07,5.078160114635466e-13
48,6.8968486193769856,6.8968486193769607,2.4868995751603507e-14,3.6008351855798537e-09,1.1104361874458846e-09,4.241051954068098e-14
64,6.8968486193769873,6.8968486193769607,2.6645352591003757e-14,9.0983807154998431e-09,3.2760567592049483e-09,7.9092288274296152e-13
