x,y,forcing,solution,residual
0,0,0.36072711552387404,8.5507626239586196e-18,2.590450076667139e-11
0.024543692606170259,0,0.25189314469030999,0.0048772580504032178,-3.5579594825918548e-10
0.049087385212340517,0,0.094547921522165457,0.0095670858091272577,1.690389495045963e-10
0.073631077818510776,0,-0.048243812996460328,0.013889255825490074,1.7380766270669312e-10
0.098174770424681035,0,-0.12632104810059205,0.017677669529663695,-1.3719053670868675e-11
0.12271846303085129,0,-0.12781372018709031,0.020786740307563646,3.1518515575257311e-10
0.14726215563702155,0,-0.085177328900076704,0.023096988312782181,-2.3375287816485013e-10
0.17180584824319181,0,-0.058228270527038078,0.024519632010080779,-7.0109446026478395e-11
0.19634954084936207,0,-0.10243227750000597,0.025000000000000015,-7.8042877715844838e-11
0.22089323345553233,0,-0.23851700862597267,0.024519632010080773,5.7005039577617822e-11
0.24543692606170259,0,-0.43902595383089149,0.023096988312782184,-3.7984493328480085e-10
0.26998061866787282,0,-0.63884533262796117,0.020786740307563643,-1.6975387762130367e-10
0.2945243112740431,0,-0.76447586190355943,0.017677669529663709,6.4033001123675604e-11
0.31906800388021339,0,-0.76731606737701386,0.013889255825490067,-3.5937253173301542e-11
0.34361169648638362,0,-0.64444254634911491,0.0095670858091272612,-1.2214929068221636e-10
0.36815538909255385,0,-0.43716120790444374,0.0048772580504032204,2.8617802572128426e-10
0.39269908169872414,0,-0.20924389170436009,9.4751228903294101e-18,-2.1688514872941766e-10
0.41724277430489443,0,-0.017006903543828528,-0.0048772580504032039,-4.0214567786911459e-10
0.44178646691106466,0,0.11315175647080877,-0.0095670858091272386,-1.0000367201001836e-10
0.46633015951723489,0,0.1890775019056741,-0.013889255825490053,3.8469644136895909e-11
0.49087385212340517,0,0.23873937482598528,-0.017677669529663688,-2.6467006364327972e-10
0.51541754472957546,0,0.28733004434539366,-0.020786740307563629,2.6169955091859265e-10
0.53996123733574564,0,0.3393861758869588,-0.02309698831278216,3.3207986360750397e-10
0.56450492994191592,0,0.3759857420199636,-0.024519632010080762,-1.1826661872049726e-10
0.58904862254808621,0,0.36785824478251772,-0.025000000000000001,-5.0467752199523375e-10
